date,entity,account,amount,currency
2025-01-01,Total,Revenue,1000000.0,USD
2025-01-01,Total,Revenue,1022727.2727272727,USD
2025-01-01,Total,Revenue,1045454.5454545454,USD
2025-02-01,Total,Revenue,1068181.8181818181,USD
2025-02-01,Total,Revenue,1090909.0909090908,USD
2025-02-01,Total,Revenue,1113636.3636363638,USD
2025-03-01,Total,Revenue,1136363.6363636362,USD
2025-03-01,Total,Revenue,1159090.9090909092,USD
2025-03-01,Total,Revenue,1181818.1818181819,USD
2025-04-01,Total,Revenue,1204545.4545454546,USD
2025-04-01,Total,Revenue,1227272.7272727273,USD
2025-04-01,Total,Revenue,1250000.0,USD
2025-05-01,Total,COGS,420000.0,USD
2025-05-01,Total,COGS,427272.7272727273,USD
2025-05-01,Total,COGS,434545.45454545453,USD
2025-06-01,Total,COGS,441818.1818181818,USD
2025-06-01,Total,COGS,449090.9090909091,USD
2025-06-01,Total,COGS,456363.63636363635,USD
2025-07-01,Total,COGS,463636.36363636365,USD
2025-07-01,Total,COGS,470909.09090909094,USD
2025-07-01,Total,COGS,478181.8181818182,USD
2025-08-01,Total,COGS,485454.54545454547,USD
2025-08-01,Total,COGS,492727.2727272727,USD
2025-08-01,Total,COGS,500000.0,USD
2025-09-01,Total,Opex:General,300000.0,USD
2025-09-01,Total,Opex:General,305454.54545454547,USD
2025-09-01,Total,Opex:General,310909.0909090909,USD
2025-10-01,Total,Opex:General,316363.63636363635,USD
2025-10-01,Total,Opex:General,321818.1818181818,USD
2025-10-01,Total,Opex:General,327272.7272727273,USD
2025-11-01,Total,Opex:General,332727.2727272727,USD
2025-11-01,Total,Opex:General,338181.8181818182,USD
2025-11-01,Total,Opex:General,343636.36363636365,USD
2025-12-01,Total,Opex:General,349090.9090909091,USD
2025-12-01,Total,Opex:General,354545.45454545453,USD
2025-12-01,Total,Opex:General,360000.0,USD
